,ID,Strain,Weight,stateord,groupwt,totlen,prem1,posm1,spolen1,Jaw
59,shh_14.5_15_209-216_DG,DUHi,212.5,209_0_1_1_1,209,547.5728155,104.8543689,200.9708738,273.7864078,Lower molar
60,shh_14.5_08_247_I,DUHi,247,220_0_2_1_1,220,548.6577181,143.4563758,145.9731544,349.8322148,Lower molar
61,shh_16.0_02_402_E,FVB,402,331_0_2_2_1,331,555.4317549,122.005571,290.8077994,259.6100279,Lower molar
62,shh_15.0_21_291_FAC,FVB,291,331_0_2_2_1,331,557.5630252,163.0252101,245.3781513,189.9159664,Lower molar
63,shh_15.0_03_294_K,DUHi,294,331_0_2_2_1,331,560.9348915,130.2170284,244.5742905,200.3338898,Lower molar
64,shh_16.0_03_437_E,FVB,437,331_0_2_2_1,331,562.1169916,157.1030641,266.2952646,232.3119777,Lower molar
65,shh_14.5_30_268_I,DUHi,268,331_0_2_2_1,331,568.4474124,113.5225376,202.8380634,294.6577629,Lower molar
66,shh_14.5_19_331_DP,DUHi,331,331_0_2_2_1,331,569.9164345,166.0167131,279.6657382,174.9303621,Lower molar
67,shh_16.0_07_452_DO,DUHi,452,331_0_2_2_1,331,573.1092437,180.2521008,290.3361345,194.5378151,Lower molar
68,shh_15.0_02_265_K,DUHi,265,331_0_2_2_1,331,576.7946578,144.4073456,202.8380634,344.7412354,Lower molar
69,shh_14.5_18_340_FW,FVB,340,331_0_2_2_1,331,587.7437326,145.9610028,291.3649025,206.6852368,Lower molar
70,shh_16.0_01_455_O,DUHi,455,331_0_2_2_1,331,592.2005571,147.0752089,274.6518106,212.2562674,Lower molar
71,shh_14.5_07_367_P,DUHi,367,331_0_2_2_1,331,592.2459893,180.4812834,296.7914439,141.7112299,Lower molar
72,shh_16.0_01_356_E,FVB,356,331_0_2_2_1,331,592.7576602,135.3760446,312.5348189,215.0417827,Lower molar
73,shh_14.5_16_310_FW,FVB,310,331_0_2_2_1,331,593.8718663,155.4317549,349.8607242,169.3593315,Lower molar
74,shh_14.5_17_325_FW,FVB,325,331_0_2_2_1,331,598.3286908,188.8579387,266.2952646,183.2869081,Lower molar
75,shh_15.5_08_363_V,DUHi,363,331_0_2_2_1,331,607.1428571,128.5714286,261.7647059,247.8991597,Lower molar
76,shh_14.5_20_343_DP,DUHi,343,331_0_2_2_1,331,611.6991643,168.2451253,340.9470752,155.9888579,Lower molar
77,shh_14.5_19_349_FW,FVB,349,331_0_2_2_1,331,613.9275766,148.7465181,324.7910864,206.6852368,Lower molar
78,shh_16.0_06_404_F,FVB,404,331_0_2_2_1,331,622.8412256,137.0473538,343.7325905,247.3537604,Lower molar
79,shh_15.5_15_399_DN,DUHi,399,331_0_2_2_1,331,636.7688022,250.6963788,298.6072423,140.3899721,Lower molar
80,shh_16.0_06_481_O,DUHi,481,331_0_2_2_1,331,649.5821727,168.2451253,325.3481894,224.5125348,Lower molar
81,shh_15.5_05_483_M,DUHi,483,331_0_2_2_1,331,653.7433155,155.0802139,355.6149733,120.3208556,Lower molar
82,shh_15.5_09_457_V,DUHi,457,331_0_2_2_1,331,655.1532033,152.0891365,339.275766,196.6573816,Lower molar
83,shh_15.5_03_442_N,DUHi,442,331_0_2_2_1,331,662.7712855,132.721202,273.7896494,336.39399,Lower molar
84,shh_16.0_04_394_F,FVB,394,331_0_2_2_1,331,669.0807799,203.3426184,451.2534819,116.9916435,Lower molar
85,shh_15.5_16_427_DN,DUHi,427,331_0_2_2_1,331,693.0362117,165.45961,431.1977716,142.6183844,Lower molar
86,shh_15.5_02_426_N,DUHi,426,331_0_2_2_1,331,731.2186978,95.9933222,291.3188648,398.9983306,Lower molar
87,shh_16.0_08_456_DO,DUHi,456,331_0_2_2_1,331,736.5546218,179.4117647,394.9579832,222.6890756,Lower molar
1,shh_15.5_15_399_DN,DUHi,399,329_0_2_2_1,329,816.1559889,162.1169916,264.0668524,250.1392758,Upper molar
