,X,ID,Strain.x,ident,Age,Weight.x,mediantemps,Date.x,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid.x,Age.dpc.,Date.y,Strain.y,Weight.y,Litter,Weekday,indata,age,poids,portee,agerel,poidscor,agecor,agepreditsanscor,poidscor2,agecor2,dev01,dev.inf,dev.sup,sd,dev05,dev15,nid.y
135,135,shh_16.5_02_271_DW,DUHi,242,16.5,271,15.018,3/13/2014,DW,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,271DW,16.5,9/25/2014,DUHi,271,DW,5,TRUE,16.5,5.6021188209,DW,1.5,6.1344127579,16.2470713034,15.2534437674,5.8310052138,15.6807036079,15.4687541682,15.097733026,15.8462166352,1,15.3088827531,16.1052726666,271DW
136,136,shh_15.0_03_273_FD,FVB,533,15,273,16.159,9/25/2014,FD,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,y,325,273FD,15,7/24/2014,FVB,273,FD,5,TRUE,15,5.6094717952,FD,0,5.5702254666,15.0011711741,15.0860501857,5.5925958739,15.0495522107,15.073182351,14.6713144274,15.4662775987,1,15.073037418,15.0080743005,273FD
137,137,shh_15.0_15_285_DK,DUHi,179,15,285,15.026,7/24/2014,DK,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,Y,325,285DK,15,3/13/2014,DUHi,285,DK,5,TRUE,15,5.6524891803,DK,0,5.542060001,15.1413325952,15.3474695915,5.6050046332,15.2588306831,15.2915257303,14.9538383281,15.6504162122,1,15.3344537191,15.1693059785,285DK
138,138,shh_15.0_07_285_FD,FVB,535,15,285,15.141,3/13/2014,FD,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,285FD,15,7/24/2014,FVB,285,FD,5,TRUE,15,5.6524891803,FD,0,5.6132428517,15.0942059435,15.179084955,5.635613259,15.1425869801,15.1659197646,14.7666206919,15.562071446,1,15.1659952731,15.1006848319,285FD
139,139,shh_15.0_07_285_FD,FVB,536,15,285,15.141,3/13/2014,FD,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,285FD,15,7/24/2014,FVB,285,FD,5,TRUE,15,5.6524891803,FD,0,5.6132428517,15.0942059435,15.179084955,5.635613259,15.1425869801,15.1659197646,14.7666206919,15.562071446,1,15.1659952731,15.1006848319,285FD
21,21,shh_14.5_06_287_DP,DUHi,159,14.5,287,14.922,03/04/14,DP,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,287DP,15,03/16/16,DUHi,284,DAJ,4,FALSE,15,5.6489742382,DAJ,0,5.6347731259,15.3143992178,15.3409082857,5.6428677599,15.3295093865,15.3273644093,14.9878104445,15.6866611393,1,15.3391353335,15.3144499457,284DAJ
140,140,shh_15.5_07_290_DV,DUHi,224,15.5,290,15.105,7/24/2014,DV,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,y,325,290DV,15.5,10/23/2014,DUHi,290,DV,5,TRUE,15.5,5.669880923,DV,0.5,5.5857125725,15.2228183947,15.3799345761,5.6336885323,15.3123746181,15.3356298372,14.998089616,15.6936384996,1,15.3711392133,15.2444787468,290DV
141,141,shh_14.5_26_290_FW,FVB,464,14.5,290,15.108,7/24/2014,FW,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,290FW,14.5,5/12/2015,FVB,290,FW,3,TRUE,14.5,5.669880923,FW,-0.5,5.2333419002,14.272584701,15.2166985098,5.4821691432,14.8107295721,15.0289683303,14.6337887984,15.4481464419,1,15.1625759777,14.3938106861,290FW
142,142,shh_15.0_12_293_DK,DUHi,180,15,293,15.265,10/23/2014,DK,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,293DK,15,3/13/2014,DUHi,293,DK,5,TRUE,15,5.680172609,DK,0,5.5697434297,15.1930089626,15.399145959,5.6326880619,15.3105070505,15.3428397933,15.0051419968,15.7029440945,1,15.3862193328,15.2209106764,293DK
143,143,shh_15.0_03_294_DK,DUHi,181,15,294,14.353,05/12/15,DK,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,294DK,15,3/13/2014,DUHi,294,DK,5,TRUE,15,5.6835797673,DK,0,5.573150588,15.1993690695,15.4055060658,5.6360952202,15.3168671574,15.349045947,15.0112238114,15.7091943598,1,15.3925807064,15.2272980785,294DK
