	ID	Strain	Age	Weight	Clutch	shh_R2_spot	shh_M1_spot	shh_M2_spot	cap_transition	M1_spot_split_LR	shboob	Total_state	stateord	Symmetry	groupwt
92	shh_14.0_11_195_FP	FVB	14.0	195	FP	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	y	211
93	shh_14.5_30_189_FQ	FVB	14.5	189	FQ	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	y	211
94	shh_14.5_17_325_FW	FVB	14.5	325	FW	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	Y	331
95	shh_14.0_14_125_DU	DUHi	14.0	125	DU	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	Y	120
96	shh_14.0_19_139_DF	DUHi	14.0	139	DF	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	Y	120
97	shh_15.5_02_426_N	DUHi	15.5	426	DN	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	y	331
98	shh_14.5_11_196-199_H	DUHi	14.5	197.5	DH	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	-	168
99	shh_14.0_12_91_DU	DUHi	14.0	91	DU	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	Y	120
100	shh_14.0_03_166_E	DUHi	14.0	166	DE	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	-	168
101	shh_14.0_06_169_R	DUHi	14.0	169	DR	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	-	168
102	shh_13.5_10_110_DZ	DUHi	13.5	110	DZ	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	Y	120
103	shh_13.5_17_154-165_DB	DUHi	13.5	159.5	DB	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	-	168
104	shh_14.0_30_149_DR	DUHi	14.0	149	DR	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	y	168
105	shh_14.0_09_148_FJ	FVB	14.0	148	FJ	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	Y	168
106	shh_14.5_07_193_FL	FVB	14.5	193	FL	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	Y	211
107	shh_14.5_08_221_FL	FVB	14.5	221	FL	0	2	0	1	0	1	0_2_1_1	235_0_2_1_1	Y	235
108	shh_14.5_23_217_DAD	DUHi	14.5	217	DAD	1	1	0	1	0	1	1_1_1_1	216_1_1_1_1	Y	216
109	shh_14.5_03_255-256_G	DUHi	14.5	255.5	DG	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
110	shh_14.5_36_214_FZ	FVB	14.5	214	FZ	0	2	0	1	0	1	0_2_1_1	235_0_2_1_1	y	235
111	shh_14.5_19_331_DP	DUHi	14.5	331	DP	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	Y	331
112	shh_13.5_13_107_DZ	DUHi	13.5	107	DZ	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
113	shh_15.5_06_244_V	DUHi	15.5	244	DV	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	y	331
114	shh_14.5_35_212_FZ	FVB	14.5	212	FZ	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	y	211
115	shh_13.5_14_112_DZ	DUHi	13.5	112	DZ	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	y	120
116	shh_13.5_07_113_Q	DUHi	13.5	113	DQ	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	Y	120
117	shh_14.0_03_163-167_B	FVB	14.0	165	FB	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	y	168
118	shh_14.0_05_171-178_B	FVB	14.0	174.5	FB	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	y	168
119	shh_13.5_21_136_FU	FVB	13.5	136	FU	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	-	168
120	shh_14.5_05_199-207_C	FVB	14.5	203	FC	0	2	0	1	0	1	0_2_1_1	235_0_2_1_1	-	235
121	shh_14.5_25_236_DAF	DUHi	14.5	236	DAF	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	-	211
122	shh_14.5_04_199-207_C	FVB	14.5	203	FC	0	2	0	1	0	1	0_2_1_1	235_0_2_1_1	y	235
123	shh_14.0_13_113_DU	DUHi	14.0	113	DU	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	Y	120
124	shh_13.5_04_111-117_B	DUHi	13.5	114	DB	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	-	120
125	shh_14.0_28_100_D-	DUHi	14.0	100	D-	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	y	120
126	shh_14.5_20_343_DP	DUHi	14.5	343	DP	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	y	331
127	shh_13.5_12_108_FK	FVB	13.5	108	FK	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	y	120
128	shh_15.0_05_256_D	FVB	15.0	256	FD	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	y	331
129	shh_16.0_06_404_F	FVB	16.0	404	FF	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	y	331
130	shh_14.5_09_246_FL	FVB	14.5	246	FL	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	Y	331
131	shh_15.0_14_203_DAB	DUHi	15.0	203	DAB	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	-	211
132	shh_15.0_10_242_DK	DUHi	15.0	242	DK	0	2	0	1	1	1	0_2_1_1	235_0_2_1_1	Y	235
133	shh_16.0_02_402_E	FVB	16.0	402	FE	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
134	shh_14.5_28_184_FQ	FVB	14.5	184	FQ	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	-	211
135	shh_15.5_12_355_DV	DUHi	15.5	355	DV	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	Y	331
136	shh_15.0_13_196_DT	DUHi	15.0	196	DT	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	-	211
137	shh_14.5_01_178_C	FVB	14.5	178	FC	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	Y	211
138	shh_15.5_03_442_N	DUHi	15.5	442	DN	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	y	331
139	shh_14.5_18_340_FW	FVB	14.5	340	FW	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
140	shh_16.0_01_455_O	DUHi	16.0	455	DO	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	-	331
141	shh_14.5_13_211-216_H	DUHi	14.5	213.5	DH	1	1	0	1	0	1	1_1_1_1	216_1_1_1_1	-	216
142	shh_16.0_01_356_E	FVB	16.0	356	FE	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
143	shh_14.5_16_310_FW	FVB	14.5	310	FW	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
144	shh_15.0_11_262_DK	DUHi	15.0	262	DK	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
145	shh_13.5_01_124_A	FVB	13.5	124	FA	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	y	120
146	shh_15.5_11_340_DV	DUHi	15.5	340	DV	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
147	shh_13.5_08_111_DC	DUHi	13.5	111	DC	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
148	shh_14.0_26_69_DD	DUHi	14.0	69	DD	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	y	97
149	shh_13.5_04_125_A	FVB	13.5	125	FA	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	-	120
150	shh_13.5_02_127_A	FVB	13.5	127	FA	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	y	120
151	shh_13.5_03_143_A	FVB	13.5	143	FA	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	Y	120
152	shh_13.5_14_112_FV	FVB	13.5	112	FV	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	-	120
153	shh_15.5_11_340_DV	DUHi	15.5	340	DV	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
154	shh_15.0_06_221_K	DUHi	15.0	221	DK	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
155	shh_14.5_12_205_FP	FVB	14.5	205	FP	0	2	0	1	0	1	0_2_1_1	235_0_2_1_1	y	235
156	shh_16.0_04_394_F	FVB	16.0	394	FF	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
157	shh_13.5_19_126_FV	FVB	13.5	126	FV	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	y	120
158	shh_13.5_20_127_FV	FVB	13.5	127	FV	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	y	120
159	shh_14.5_19_349_FW	FVB	14.5	349	FW	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
160	shh_15.0_20_264_FAC	FVB	15.0	264	FAC	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
161	shh_13.0_07_134-139_C	CD1	13.0	136.5	C	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	-	143
162	shh_13.5_22_143_FU	FVB	13.5	143	FU	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	-	168
163	shh_14.5_29_230_DAF	DUHi	14.5	230	DAF	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	-	211
164	shh_15.0_01_320-329_C	CD1	15.0	324.5	C	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
165	shh_15.0_02_320-329_C	CD1	15.0	324.5	C	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
166	shh_15.0_03_320-329_C	CD1	15.0	324.5	C	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
167	shh_14.5_05_350-355_C	CD1	14.5	352.5	C	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	y	331
168	shh_14.5_06_350-355_C	CD1	14.5	352.5	C	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
169	shh_14.5_07_405-408_C	CD1	14.5	406.5	C	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	Y	331
170	shh_14.5_01_263-265_C	CD1	14.5	264	C	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	y	331
171	shh_14.5_02_283-295_C	CD1	14.5	289	C	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
172	shh_14.5_03_283-295_C	CD1	14.5	289	C	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	y	331
173	shh_14.5_08_417-419_C	CD1	14.5	418	C	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	-	331
174	shh_13.0_09_134-139_C	CD1	13.0	136.5	C	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	y	143
175	shh_13.0_05_141-144_C	CD1	13.0	142.5	C	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	y	143
176	shh_14.5_09_441-447_C	CD1	14.5	444	C	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	y	331
177	shh_15.5_17_353_DAC	DUHi	15.5	353	DAC	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
178	shh_14.5_06_287_P	DUHi	14.5	287	DP	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	Y	331
179	shh_15.0_09_285_FD	FVB	15.0	285	FD	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	y	331
180	shh_15.0_02_246_D	FVB	15.0	246	FD	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	y	331
181	shh_15.5_05_483_M	DUHi	15.5	483	DM	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	-	331
182	shh_15.0_01_234_D	FVB	15.0	234	FD	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	y	331
183	shh_13.0_06_141-144_C	CD1	13.0	142.5	C	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	y	143
184	shh_13.0_16_130-138_C	CD1	13.0	134	C	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	-	143
185	shh_15.5_18_361_DAC	DUHi	15.5	361	DAC	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
186	shh_16.0_03_391_O	DUHi	16.0	391	DO	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	y	331
187	shh_15.5_04_457_M	DUHi	15.5	457	DM	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	-	331
188	shh_15.0_11_229_FAA	FVB	15.0	229	FAA	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
189	shh_15.0_12_236_FAA	FVB	15.0	236	FAA	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
190	shh_15.0_13_241_FAA	FVB	15.0	241	FAA	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
191	shh_15.0_14_248_FAA	FVB	15.0	248	FAA	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
192	shh_15.0_15_249_FAA	FVB	15.0	249	FAA	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
193	shh_15.0_16_257_FAA	FVB	15.0	257	FAA	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	Y	331
194	shh_15.0_17_258_FAA	FVB	15.0	258	FAA	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	Y	331
195	shh_15.5_15_399_DN	DUHi	15.5	399	DN	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	y	331
196	shh_15.0_18_269_FAA	FVB	15.0	269	FAA	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	Y	331
197	shh_14.5_20_332_FS	FVB	14.5	332	FS	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
198	shh_14.5_21_344_FS	FVB	14.5	344	FS	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	Y	331
199	shh_14.5_22_353_FS	FVB	14.5	353	FS	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
200	shh_14.5_23_356_FS	FVB	14.5	356	FS	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
201	shh_14.0_02_203-208_C	CD1	14.0	205.5	C	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	-	168
202	shh_15.0_10_151_FAA	FVB	15.0	151	FAA	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	y	168
203	shh_13.5_17_137_FV	FVB	13.5	137	FV	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	y	168
204	shh_15.5_16_427_DN	DUHi	15.5	427	DN	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	-	331
205	shh_15.0_12_293_DK	DUHi	15.0	293	DK	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
206	shh_16.0_03_437_E	FVB	16.0	437	FE	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	Y	331
207	shh_14.5_01_200_G	DUHi	14.5	200	DG	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	-	168
208	shh_14.0_12_199_FP	FVB	14.0	199	FP	0	2	0	1	0	1	0_2_1_1	235_0_2_1_1	y	235
209	shh_15.0_19_281_FAC	FVB	15.0	281	FAC	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
210	shh_14.0_27_79_DAA	DUHi	14.0	79	DAA	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
211	shh_13.5_05_67_Q	DUHi	13.5	67	DQ	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
212	shh_14.0_01_93-101_D	DUHi	14.0	97	DD	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
213	shh_13.5_09_99_DZ	DUHi	13.5	99	DZ	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
214	shh_14.0_23_142_DAA	DUHi	14.0	142	DAA	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	-	143
215	shh_14.0_11_157_F	DUHi	14.0	157	DF	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	Y	143
