	ID	Strain	Age	Weight	Clutch	shh_R2_spot	shh_M1_spot	shh_M2_spot	cap_transition	M1_spot_split_LR	shboob	Total_state	stateord	Symmetry	groupwt
104	shh_15.5_15_399_DN	DUHi	15.5	399	DN	0	2	0	2	2	1	0_2_2_1	325_0_2_2_1	Y	325
105	shh_15.5_16_427_DN	DUHi	15.5	427	DN	0	2	0	2	2	1	0_2_2_1	325_0_2_2_1	y	325
106	shh_14.5_09_441-447_C	CD1	14.5	444	C	0	2	0	2	2	1	0_2_2_1	325_0_2_2_1	-	325
107	shh_15.0_01_234_FD	FVB	15.0	234	FD	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	Y	325
108	shh_15.0_02_246_FD	FVB	15.0	246	FD	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	Y	325
109	shh_15.0_03_273_FD	FVB	15.0	273	FD	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	y	325
110	shh_14.5_04_255-256_DG	DUHi	14.5	255.5	DG	1	2	0	1	0	1	1_2_1_1	227_1_2_1_1	-	227
111	shh_15.0_04_217-218_DJ	DUHi	15.0	217.5	DJ	1	2	0	1	0	1	1_2_1_1	227_1_2_1_1	-	227
112	shh_15.5_06_244_DV	DUHi	15.5	244	DV	1	2	0	2	0	1	1_2_2_1	235_1_2_2_1	y	235
113	shh_16.0_02_402_FE	FVB	16.0	402	FE	0	2	0	2	2	1	0_2_2_1	325_0_2_2_1	Y	325
114	shh_13.5_04_111-117_DB	DUHi	13.5	114	DB	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
115	shh_14.0_08_169_DR	DUHi	14.0	169	DR	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
116	shh_14.0_10_143_DF	DUHi	14.0	143	DF	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
117	shh_14.0_13_113_DU	DUHi	14.0	113	DU	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
118	shh_14.0_14_125_DU	DUHi	14.0	125	DU	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	Y	123
119	shh_14.0_19_139_DF	DUHi	14.0	139	DF	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
120	shh_13.5_02_131-139_C	CD1	13.5	135	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	-	145
121	shh_13.5_03_150-152_C	CD1	13.5	151	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	-	145
122	shh_13.5_04_155-158_C	CD1	13.5	156.5	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
123	shh_14.0_11_157_DF	DUHi	14.0	157	DF	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
124	shh_14.0_16_144_DR	DUHi	14.0	144	DR	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	-	145
125	shh_13.5_02_127_FA	FVB	13.5	127	FA	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	Y	123
126	shh_13.5_04_125_FA	FVB	13.5	125	FA	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	Y	123
