"","X","ID","Strain.x","ident","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid.x","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","nid.y"
"22",133,"shh_14.0_26_69_DD","DUHi",53,14,69,"DD",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","y",97,"69DD",14,"1/20/2014","DUHi",69,"DD",2,TRUE,14,4.23410650459726,"DD",-1,4.47539504082096,13.1502002479162,12.6997894559239,4.33786057517345,12.8934660964806,12.8072868875288,12.3861690748302,13.1875049836453,"001",12.7301586356038,13.0955565513935,"69DD"
"23",85,"shh_14.0_03_166_E","DUHi",27,14,166,"DE",1,0,0,0,0,1,"1_0_0_1","168_1_0_0_1","-",168,"166DE",13.5,"1/20/2014","DUHi",165,"DB",2,FALSE,13.5,5.10594547390058,"DB",-1.5,4.91721683274769,13.9749443751577,14.327242159643,5.02479215820484,14.1757541123143,14.2475050538543,13.8964919082009,14.6042076254107,"001",14.3078423567196,14.020527444621,"165DB"
"24",39,"shh_14.0_04_220_E","DUHi",114,15,220,"DE",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","Y",211,"220DE",14.5,"12/17/2013","DUHi",220,"DG",3,FALSE,14.5,5.39362754635236,"DG",-0.5,5.1590834999859,14.4264343582803,14.8642552814553,5.29277360641479,14.67599228449,14.7637978317482,14.4180084446834,15.1249948643101,"001",14.8390856998969,14.4801582898599,"220DG"
"25",59,"shh_14.5_04_144_E","DUHi",23,14.5,144,"DE",0,0,0,0,0,1,"0_0_0_1","168_0_0_0_1","-",168,"144DE",13.5,"1/20/2014","DUHi",144,"DB",2,FALSE,13.5,4.969813299576,"DB",-1.5,4.78108465842311,13.7208278662974,14.0731256507827,4.88865998388026,13.9216376034541,13.994447212975,13.6370461267785,14.3527159351889,"001",14.0538694655045,13.7665867966736,"144DB"
"26",51,"shh_14.0_09_140_F","DUHi",68,14,140,"DF",2,0,0,0,0,1,"2_0_0_1","143_2_0_0_1","-",143,"140DF",14,"7/17/2014","DUHi",140,"DF",5,TRUE,14,4.9416424226093,"DF",-1,5.02437034718343,14.1749667220835,14.0205393687974,4.97721543017618,14.0869431307104,14.0568626882778,13.6944590955125,14.4072631860635,"001",14.0327407437319,14.1559448736792,"140DF"
"27",185,"shh_14.0_11_157_F","DUHi",71,14,157,"DF",2,0,0,0,0,1,"2_0_0_1","143_2_0_0_1","Y",143,"157DF",14,"7/17/2014","DUHi",157,"DF",5,TRUE,14,5.05624580534831,"DF",-1,5.13897372992244,14.3888956604091,14.234468307123,5.09181881291518,14.300872069036,14.2697223158138,13.9114663704272,14.6174158498985,"001",14.2462719210794,14.3692749854995,"157DF"
"28",80,"shh_14.0_19_139_DF","DUHi",66,14,139,"DF",2,0,0,0,0,0,"2_0_0_0","120_2_0_0_0","Y",120,"139DF",14,"7/17/2014","DUHi",139,"DF",5,TRUE,14,4.93447393313069,"DF",-1,5.01720185770482,14.1615853775987,14.0071580243126,4.97004694069757,14.0735617862256,14.043439259623,13.6812241330392,14.3939706776387,"001",14.0193874074401,14.1425249335677,"139DF"
"29",81,"shh_14.0_19_139_DF","DUHi",67,14,139,"DF",2,0,0,0,0,0,"2_0_0_0","120_2_0_0_0","Y",120,"139DF",14,"7/17/2014","DUHi",139,"DF",5,TRUE,14,4.93447393313069,"DF",-1,5.01720185770482,14.1615853775987,14.0071580243126,4.97004694069757,14.0735617862256,14.043439259623,13.6812241330392,14.3939706776387,"001",14.0193874074401,14.1425249335677,"139DF"
"30",70,"shh_14.0_31_237_DG","DUHi",116,14,237,"DG",0,2,0,1,0,1,"0_2_1_1","235_0_2_1_1","-",235,"237DG",14.5,"12/17/2013","DUHi",237,"DG",3,TRUE,14.5,5.46806014113513,"DG",-0.5,5.23351609476867,14.5653769060318,15.0031978292068,5.36720620119755,14.8149348322415,14.9021389280104,14.5573080596302,15.2631923891918,"001",14.9781145024339,14.6186841119444,"237DG"
"31",177,"shh_14.5_01_200_G","DUHi",111,14.5,200,"DG",1,0,0,0,0,1,"1_0_0_1","168_1_0_0_1","-",168,"200DG",14.5,"12/17/2013","DUHi",200,"DG",3,TRUE,14.5,5.29831736654804,"DG",-0.5,5.06377332018158,14.2485198404899,14.6863407636648,5.19746342661046,14.4980777666996,14.5868946700934,14.2378790172019,14.9474108783962,"001",14.6613046059316,14.3023217957152,"200DG"
"32",94,"shh_14.5_03_255-256_G","DUHi",120,14.5,255.5,"DG",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","-",331,"255.5DG",14.5,"12/17/2013","DUHi",255,"DG",3,FALSE,14.5,5.54126354515843,"DG",-0.5,5.30671949879197,14.7020249362229,15.1398458593979,5.44040960522085,14.9515828624326,15.0381795478198,14.6933192806224,15.4003360047269,"001",15.1145040075919,14.7553755710083,"255DG"
